# q	u	v
0.000000e+00	0.000000e+00	0.000000e+00
# wavelength[m]	F[W/m^2/m]
2.63E-07	5.587636E+00
4.48E-07	6.930609E+00
5.50E-07	7.074426E+00
6.46E-07	7.218243E+00
8.57E-07	6.350480E+00
1.00E-06	5.668606E+00
1.33E-06	4.867597E+00
1.59E-06	4.070742E+00
1.86E-06	2.872022E+00
2.16E-06	1.804593E+00
2.20E-06	1.413399E+00
2.48E-06	1.022204E+00
2.82E-06	7.190847E-01
3.18E-06	5.376252E-01
3.57E-06	6.321420E-01
3.99E-06	2.420595E-01
4.43E-06	1.847393E-01
4.91E-06	1.440370E-01
5.42E-06	1.119661E-01
5.97E-06	1.431843E-01
6.55E-06	1.693723E-01
7.18E-06	1.268541E-01
7.84E-06	3.061967E-01
8.56E-06	1.010911E-01
9.33E-06	3.443459E-02
1.01E-05	2.355893E-02
1.10E-05	5.039678E-02
1.20E-05	8.855398E-02
1.30E-05	5.248219E-02
1.40E-05	1.703833E-02
1.52E-05	1.047126E-02
1.64E-05	1.701723E-02
1.77E-05	1.469709E-02
1.91E-05	2.620250E-02
2.06E-05	2.205601E-02
2.23E-05	3.016874E-02
2.40E-05	1.951360E-02
2.58E-05	1.184924E-02
2.78E-05	1.120392E-02
2.99E-05	1.093513E-02
3.22E-05	1.051183E-02
3.46E-05	1.064196E-02
3.72E-05	1.074714E-02
4.00E-05	1.142193E-02
4.29E-05	1.233810E-02
4.61E-05	1.415063E-02
4.95E-05	1.698977E-02
5.31E-05	1.990688E-02
5.70E-05	2.333704E-02
6.12E-05	2.770461E-02
6.56E-05	3.264187E-02
7.04E-05	3.739034E-02
7.54E-05	4.150600E-02
8.09E-05	4.527624E-02
8.67E-05	4.804823E-02
9.30E-05	4.970144E-02
9.96E-05	5.042007E-02
1.07E-04	5.005083E-02
1.14E-04	4.847160E-02
1.23E-04	4.559130E-02
1.31E-04	4.277898E-02
1.41E-04	3.846082E-02
1.51E-04	3.373920E-02
1.61E-04	2.957523E-02
1.73E-04	2.403204E-02
1.85E-04	1.981315E-02
1.98E-04	1.631368E-02
2.12E-04	1.307823E-02
2.27E-04	1.070721E-02
2.43E-04	8.066601E-03
2.61E-04	6.205511E-03
2.79E-04	4.889237E-03
2.99E-04	3.760955E-03
3.20E-04	2.825475E-03
3.42E-04	1.972809E-03
3.67E-04	1.471351E-03
3.92E-04	1.229187E-03
4.20E-04	1.022773E-03
4.50E-04	9.369150E-04
4.81E-04	9.327081E-04
5.15E-04	1.045905E-03
5.51E-04	1.235676E-03
5.90E-04	1.516310E-03
6.32E-04	1.876095E-03
6.76E-04	2.255731E-03
7.23E-04	2.693899E-03
7.74E-04	3.012112E-03
8.29E-04	3.319894E-03
8.50E-04	3.462095E-03
8.87E-04	3.604295E-03
9.49E-04	3.794238E-03
1.00E-03	3.851723E-03
1.09E-03	3.812839E-03
1.16E-03	3.717530E-03
1.24E-03	3.523333E-03
1.30E-03	3.411667E-03
1.33E-03	3.300000E-03
1.43E-03	3.000000E-03
1.53E-03	2.760000E-03
1.63E-03	2.550000E-03
1.75E-03	2.310000E-03
1.87E-03	2.098000E-03
2.00E-03	1.880000E-03
3.00E-03	7.262000E-04 
